"PARM_CD","CASRN","PARM_SEQ_GRP_NM","PARM_SEQ_GRP_DS","PARM_NM","PARM_UNT_TX","PARM_DS","PARM_MEDIUM_TX","PARM_FRAC_TX","PARM_TEMP_TX","PARM_STAT_TX","PARM_TM_TX","PARM_WT_TX","PARM_SIZE_TX"
"53696","","Major and Trace Elements","Major and Trace Elements","Indium, bs, NH2OH extract","mg/kg","Indium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53697","","Major and Trace Elements","Major and Trace Elements","Mercury, bs, NH2OH extract","mg/kg","Mercury, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53698","","Major and Trace Elements","Major and Trace Elements","Potassium, bs, NH2OH extract","mg/kg","Potassium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53699","","Major and Trace Elements","Major and Trace Elements","Lanthanum, bs, NH2OH extract","mg/kg","Lanthanum, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53700","","Major and Trace Elements","Major and Trace Elements","Lithium, bs, NH2OH extract","mg/kg","Lithium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53701","","Major and Trace Elements","Major and Trace Elements","Magnesium, bs, NH2OH extract","mg/kg","Magnesium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53702","","Major and Trace Elements","Major and Trace Elements","Manganese, bs, NH2OH extract","mg/kg","Manganese, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53703","","Major and Trace Elements","Major and Trace Elements","Molybdenum, bs, NH2OH extract","mg/kg","Molybdenum, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53704","","Major and Trace Elements","Major and Trace Elements","Niobium, bs, NH2OH extract","mg/kg","Niobium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53705","","Major and Trace Elements","Major and Trace Elements","Nickel, bs, NH2OH extract","mg/kg","Nickel , bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53706","","Nutrients","Nutrients","Phosphorus, bs, NH2OH extract","mg/kg as P","Phosphorus, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram as phosphorus","Sediment","Bed Sediment","","","","Dry",""
"53707","","Major and Trace Elements","Major and Trace Elements","Lead, bs, NH2OH extract","mg/kg","Lead , bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53708","","Major and Trace Elements","Major and Trace Elements","Rubidium, bs, NH2OH extract","mg/kg","Rubidium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53709","","Major and Trace Elements","Major and Trace Elements","Rhenium, bs, NH2OH extract","mg/kg","Rhenium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53710","","Major and Trace Elements","Major and Trace Elements","Antimony, bs, NH2OH extract","mg/kg","Antimony, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53711","","Major and Trace Elements","Major and Trace Elements","Scandium, bs, NH2OH extract","mg/kg","Scandium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53712","","Major and Trace Elements","Major and Trace Elements","Selenium, bs, NH2OH extract","mg/kg","Selenium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53713","","Major and Trace Elements","Major and Trace Elements","Tin, bs, NH2OH extract","mg/kg","Tin, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53714","","Major and Trace Elements","Major and Trace Elements","Strontium, bs, NH2OH extract","mg/kg","Strontium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53715","","Major and Trace Elements","Major and Trace Elements","Tantalum, bs, NH2OH extract","mg/kg","Tantalum, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53716","","Major and Trace Elements","Major and Trace Elements","Tellurium, bs, NH2OH extract","mg/kg","Tellurium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53717","","Major and Trace Elements","Major and Trace Elements","Thorium, bs, NH2OH extract","mg/kg","Thorium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53718","","Major and Trace Elements","Major and Trace Elements","Thallium, bs, NH2OH extract","mg/kg","Thallium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53719","","Major and Trace Elements","Major and Trace Elements","Uranium, bs, NH2OH extract","mg/kg","Uranium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53720","","Major and Trace Elements","Major and Trace Elements","Vanadium, bs, NH2OH extract","mg/kg","Vanadium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53721","","Major and Trace Elements","Major and Trace Elements","Tungsten, bs, NH2OH extract","mg/kg","Tungsten, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53722","","Major and Trace Elements","Major and Trace Elements","Yttrium, bs, NH2OH extract","mg/kg","Yttrium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53723","","Major and Trace Elements","Major and Trace Elements","Zinc, bs, NH2OH extract","mg/kg","Zinc, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"53724","","Major and Trace Elements","Major and Trace Elements","Zirconium, bs, NH2OH extract","mg/kg","Zirconium, bed sediment, 0.25 M hydroxylamine hydrochloride acid extracted, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"61034","7440-44-0","Major and Trace Elements","Major and Trace Elements","Total carbon, bs<2mm,total","%","Carbon [inorganic plus organic], bed sediment smaller than 2 millimeters, total, dry weight, percent","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"61041","7439-93-2","Major and Trace Elements","Major and Trace Elements","Lithium, bs<2mm, total digest","mg/kg","Lithium, bed sediment smaller than 2 millimeters, total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"61714","7439-91-0","Major and Trace Elements","Major and Trace Elements","Lanthanum, bs<2mm, tot digest","mg/kg","Lanthanum, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"61715","7439-95-4","Major and Trace Elements","Major and Trace Elements","Magnesium, bs<2mm, tot digest","%","Magnesium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, percent","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"61717","7440-03-1","Major and Trace Elements","Major and Trace Elements","Niobium, bs<2mm, total digest","mg/kg","Niobium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"61718","7440-09-7","Major and Trace Elements","Major and Trace Elements","Potassium, bs<2mm, tot digest","%","Potassium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, percent","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"61719","7440-20-2","Major and Trace Elements","Major and Trace Elements","Scandium, bs<2mm,total digest","mg/kg","Scandium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"61720","7440-23-5","Major and Trace Elements","Major and Trace Elements","Sodium, bs<2mm, total digest","%","Sodium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, percent","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"61721","7440-25-7","Major and Trace Elements","Major and Trace Elements","Tantalum, bs<2mm,total digest","mg/kg","Tantalum, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"61722","7440-29-1","Radiochemical","Radiochemical","Thorium, bs<2mm, total digest","mg/kg","Thorium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"61723","7440-31-5","Major and Trace Elements","Major and Trace Elements","Tin, bs<2mm, total digest","mg/kg","Tin, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"61724","7440-64-4","Major and Trace Elements","Major and Trace Elements","Ytterbium, bs<2mm, tot digest","mg/kg","Ytterbium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"61725","7440-65-5","Major and Trace Elements","Major and Trace Elements","Yttrium, bs<2mm, total digest","mg/kg","Yttrium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"62046","55-38-9","Organics, Pesticides","Organics, Pesticides","Fenthion, bs","ug/kg","Fenthion, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"62047","950-37-8","Organics, Pesticides","Organics, Pesticides","Methidathion, bs","ug/kg","Methidathion, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"62902","1582-09-8","Organics, Pesticides","Organics, Pesticides","Trifluralin, bs","ug/kg","Trifluralin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"62904","1897-45-6","Organics, Pesticides","Organics, Pesticides","Chlorothalonil, bs","ug/kg","Chlorothalonil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"62905","1861-32-1","Organics, Pesticides","Organics, Pesticides","DCPA, bs","ug/kg","DCPA, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"63226","1610-18-0","Organics, Pesticides","Organics, Pesticides","Prometon, solids","ug/kg","Prometon, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"63227","129-00-0","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Pyrene, solids","ug/kg","Pyrene, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"63229","78-51-3","Organics, Industrial","Organics, Industrial","TBEP, solids","ug/kg","Tris(2-butoxyethyl) phosphate, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"63230","115-96-8","Organics, Industrial","Organics, Industrial","FYROL CEF, solids","ug/kg","Tris(2-chloroethyl) phosphate, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"63231","126-73-8","Organics, Industrial","Organics, Industrial","Tributyl phosphate, solids","ug/kg","Tributyl phosphate, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"63232","3380-34-5","Organics, Waste Indicator Compounds","Organics, Waste Indicator Compounds","Triclosan, solids","ug/kg","Triclosan, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"63234","115-86-6","Organics, Industrial","Organics, Industrial","Triphenyl phosphate, solids","ug/kg","Triphenyl phosphate, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"63235","13674-87-8","Organics, Industrial","Organics, Industrial","FYROL FR 2, solids","ug/kg","Tris(dichloroisopropyl) phosphate, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"64150","86-50-0","Organics, Pesticides","Organics, Pesticides","Azinphos-methyl, bs","ug/kg","Azinphos-methyl, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64151","82657-04-3","Organics, Pesticides","Organics, Pesticides","Bifenthrin, bs","ug/kg","Bifenthrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64152","2008-41-5","Organics, Pesticides","Organics, Pesticides","Butylate, bs","ug/kg","Butylate, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64153","63-25-2","Organics, Pesticides","Organics, Pesticides","Carbaryl, bs","ug/kg","Carbaryl, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64154","1563-66-2","Organics, Pesticides","Organics, Pesticides","Carbofuran, bs","ug/kg","Carbofuran, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64155","1134-23-2","Organics, Pesticides","Organics, Pesticides","Cycloate, bs","ug/kg","Cycloate, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64156","52315-07-8","Organics, Pesticides","Organics, Pesticides","Cypermethrin, bs","ug/kg","Cypermethrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64158","759-94-4","Organics, Pesticides","Organics, Pesticides","EPTC, bs","ug/kg","EPTC, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64159","66230-04-4","Organics, Pesticides","Organics, Pesticides","Esfenvalerate, bs","ug/kg","Esfenvalerate, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64160","55283-68-6","Organics, Pesticides","Organics, Pesticides","Ethalfluralin, bs","ug/kg","Ethalfluralin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64161","51235-04-2","Organics, Pesticides","Organics, Pesticides","Hexazinone, bs","ug/kg","Hexazinone, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01103","7440-31-5","Major and Trace Elements","Major and Trace Elements","Tin, bs,recov","ug/kg","Tin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01434","7723-14-0","Nutrients","Nutrients","P, bs <2mm, total digest","mg/kg","Phosphorus, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram as phosphorus","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"01436","7440-17-7","Major and Trace Elements","Major and Trace Elements","Rb, bs <2mm, total digest","mg/kg","Rubidium, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"04005","51218-45-2","Organics, Pesticides","Organics, Pesticides","Metolachlor, bs","ug/kg","Metolachlor, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"04006","15972-60-8","Organics, Pesticides","Organics, Pesticides","Alachlor, bs","ug/kg","Alachlor, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"04042","7429-90-5","Major and Trace Elements","Major and Trace Elements","Aluminum, bs<2mm,total digest","%","Aluminum, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, percent","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"04043","7440-36-0","Major and Trace Elements","Major and Trace Elements","Antimony, bs<2mm,total digest","mg/kg","Antimony, bed sediment smaller than 2 millimeters, wet sieved (native water), total digestion, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"64163","2212-67-1","Organics, Pesticides","Organics, Pesticides","Molinate, bs","ug/kg","Molinate, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64164","15299-99-7","Organics, Pesticides","Organics, Pesticides","Napropamide, bs","ug/kg","Napropamide, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64165","42874-03-3","Organics, Pesticides","Organics, Pesticides","Oxyfluorfen, bs","ug/kg","Oxyfluorfen, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64166","1114-71-2","Organics, Pesticides","Organics, Pesticides","Pebulate, bs","ug/kg","Pebulate, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64167","40487-42-1","Organics, Pesticides","Organics, Pesticides","Pendimethalin, bs","ug/kg","Pendimethalin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64168","52645-53-1","Organics, Pesticides","Organics, Pesticides","Permethrin, bs","ug/kg","Permethrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64169","732-11-6","Organics, Pesticides","Organics, Pesticides","Phosmet, bs","ug/kg","Phosmet, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64170","51-03-6","Organics, Pesticides","Organics, Pesticides","Piperonyl butoxide, bs","ug/kg","Piperonyl butoxide, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"91100","","Organics, Information","Organics, Information","Sample weight, Sch WCS","g","Sample weight, NWQL wastewater compound schedules (WCS), wet weight, grams","","","","","","Wet",""
"00917","7440-70-2","Major and Trace Elements","Major and Trace Elements","Calcium, bs,recov","mg/kg","Calcium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"00924","7439-95-4","Major and Trace Elements","Major and Trace Elements","Magnesium, bs,recov","mg/kg","Magnesium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"00938","7440-09-7","Major and Trace Elements","Major and Trace Elements","Potassium, bs,recov","mg/kg","Potassium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01008","7440-39-3","Major and Trace Elements","Major and Trace Elements","Barium, bs,recov","mg/kg","Barium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01013","7440-41-7","Major and Trace Elements","Major and Trace Elements","Beryllium, bs,recov","mg/kg","Beryllium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01023","7440-42-8","Major and Trace Elements","Major and Trace Elements","Boron, bs,recov","mg/kg","Boron, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01028","7440-43-9","Major and Trace Elements","Major and Trace Elements","Cadmium, bs,recov","mg/kg","Cadmium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01029","7440-47-3","Major and Trace Elements","Major and Trace Elements","Chromium, bs,recov","mg/kg","Chromium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01038","7440-48-4","Major and Trace Elements","Major and Trace Elements","Cobalt, bs,recov","mg/kg","Cobalt, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01043","7440-50-8","Major and Trace Elements","Major and Trace Elements","Copper, bs,recov","mg/kg","Copper, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01052","7439-92-1","Major and Trace Elements","Major and Trace Elements","Lead, bs,recov","mg/kg","Lead, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01053","7439-96-5","Major and Trace Elements","Major and Trace Elements","Manganese, bs,recov","mg/kg","Manganese, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01063","7439-98-7","Major and Trace Elements","Major and Trace Elements","Molybdenum, bs,recov","mg/kg","Molybdenum, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01068","7440-02-0","Major and Trace Elements","Major and Trace Elements","Nickel, bs,recov","mg/kg","Nickel, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01078","7440-22-4","Major and Trace Elements","Major and Trace Elements","Silver, bs,recov","mg/kg","Silver, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01083","7440-24-6","Major and Trace Elements","Major and Trace Elements","Strontium, bs,recov","mg/kg","Strontium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"01093","7440-66-6","Major and Trace Elements","Major and Trace Elements","Zinc, bs,recov","mg/kg","Zinc, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64171","28249-77-6","Organics, Pesticides","Organics, Pesticides","Thiobencarb, bs","ug/kg","Thiobencarb, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64847","7440-38-2","Major and Trace Elements","Major and Trace Elements","Arsenic, bs, recov","mg/kg","Arsenic, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64848","7782-49-2","Major and Trace Elements","Major and Trace Elements","Selenium, bs, recov","mg/kg","Selenium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64849","7440-62-2","Major and Trace Elements","Major and Trace Elements","Vanadium, bs, recov","mg/kg","Vanadium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64906","7439-89-6","Major and Trace Elements","Major and Trace Elements","Iron, bs","mg/kg","Iron, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65109","68359-37-5","Organics, Pesticides","Organics, Pesticides","Cyfluthrin, bs","ug/kg","Cyfluthrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65110","52918-63-5","Organics, Pesticides","Organics, Pesticides","Deltamethrin, bs","ug/kg","Deltamethrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65111","39515-41-8","Organics, Pesticides","Organics, Pesticides","Fenpropathrin, bs","ug/kg","Fenpropathrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65112","26002-80-2","Organics, Pesticides","Organics, Pesticides","Phenothrin, bs","ug/kg","Phenothrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65113","10453-86-8","Organics, Pesticides","Organics, Pesticides","Resmethrin, bs","ug/kg","Resmethrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65114","102851-06-9","Organics, Pesticides","Organics, Pesticides","tau-Fluvalinate, bs","ug/kg","tau-Fluvalinate, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65212","7440-36-0","Major and Trace Elements","Major and Trace Elements","Antimony, bed sed","mg/kg","Antimony, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65213","7440-28-0","Major and Trace Elements","Major and Trace Elements","Thallium, bed sed","mg/kg","Thallium, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65214","7440-33-7","Major and Trace Elements","Major and Trace Elements","Tungsten, bed sed","mg/kg","Tungsten, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65236","91-57-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","2-Methylnaphthalene, bs","ug/kg","2-Methylnaphthalene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66585","95-76-1","Organics, Pesticides","Organics, Pesticides","3,4-Dichloroaniline, bs, dw","ug/kg","3,4-Dichloroaniline, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66588","584-79-2","Organics, Pesticides","Organics, Pesticides","Allethrin, bs, dw","ug/kg","Allethrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66591","131860-33-8","Organics, Pesticides","Organics, Pesticides","Azoxystrobin, bs, dw","ug/kg","Azoxystrobin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66595","94361-06-5","Organics, Pesticides","Organics, Pesticides","Cyproconazole, bs, dw","ug/kg","Cyproconazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66606","120068-37-3","Organics, Pesticides","Organics, Pesticides","Fipronil, bs, dw","ug/kg","Fipronil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66609","205650-65-3","Organics, Pesticides","Organics, Pesticides","Desulfinylfipronil, bs, dw","ug/kg","Desulfinylfipronil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66612","120067-83-6","Organics, Pesticides","Organics, Pesticides","Fipronil sulfide, bs, dw","ug/kg","Fipronil sulfide, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66615","120068-36-2","Organics, Pesticides","Organics, Pesticides","Fipronil sulfone, bs, dw","ug/kg","Fipronil sulfone, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66618","36734-19-7","Organics, Pesticides","Organics, Pesticides","Iprodione, bs, dw","ug/kg","Iprodione, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66622","125116-23-6","Organics, Pesticides","Organics, Pesticides","Metconazole, bs, dw","ug/kg","Metconazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
